10,10001,1028,＜魚類＞あいなめ　生　　　,50,113,473,76.0,19.1,(15.8),3.4,2.9,0.76,1.05,0.99,76,0.1,-,(0),(0),(0),1.4,150,370,55,39,220,0.4,0.5,0.06,-,-,-,-,-,6,0,(0),(0),(0),6,9.0,1.7,0,0,0,(0),0.24,0.26,2.6,0.18,2.2,8,0.98,-,2,0.4,-,-,-,-,-,-,-,-,-,-,"別名： あぶらめ、あぶらこ
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）　 "
10,10002,1029,＜魚類＞あこうだい　生　　　,0,93,389,79.8,16.8,14.3,2.3,1.8,0.23,1.19,0.27,56,0.1,-,(0),(0),(0),1.0,75,310,15,24,170,0.3,0.4,0.02,Tr,-,-,-,-,26,0,0,(0),(0),26,1.0,3.4,0,0,0,(0),0.11,0.04,1.1,0.05,0.7,3,0.35,-,Tr,0.2,-,-,-,-,-,-,-,-,-,-,切り身（魚体全体から調理する場合、廃棄率： 60%、廃棄部位： 頭部、内臓、骨、ひれ等）　 
10,10003,1030,＜魚類＞（あじ類）　まあじ　皮つき、生　　,55,126,527,75.1,19.7,16.4,4.5,3.5,1.10,1.05,1.22,68,0.1,-,(0),(0),(0),1.3,130,360,66,34,230,0.6,1.1,0.07,0.01,20,46,1,0,7,0,0,0,0,7,8.9,0.6,0,0,0,Tr,0.13,0.13,5.5,0.30,7.1,5,0.41,3.3,Tr,0.3,-,-,-,-,-,-,-,-,-,-,"別名： あじ
廃棄部位： 頭部、内臓、骨、ひれ等（三枚下ろし）　 "
10,10389,1031,＜魚類＞（あじ類）　まあじ　皮なし、刺身　　,0,123,514,75.6,19.7,16.1,4.1,3.0,0.97,0.90,1.01,56,0.2,-,(0),(0),(0),1.2,110,360,12,31,220,0.9,0.6,0.09,0.01,20,42,0,(0),7,(0),(0),(0),(0),7,7.9,0.9,0,0,0,(Tr),0.14,0.20,6.4,0.41,9.8,9,0.53,4.7,Tr,0.3,-,-,-,-,-,-,-,-,-,-,"別名： あじ
同一試料の皮つき、生の分析値： 第2章別表参照　 "
10,10004,1032,＜魚類＞（あじ類）　まあじ　皮つき、水煮　　,40,151,632,70.3,22.4,(18.6),5.9,4.6,1.45,1.42,1.56,81,0.1,-,(0),(0),(0),1.3,130,350,80,36,250,0.7,1.3,0.07,0.01,14,64,Tr,0,8,0,0,0,0,8,11.0,0.3,0,0,0,Tr,0.13,0.12,5.3,0.25,5.9,5,0.38,5.2,0,0.3,-,-,-,-,-,-,-,-,-,87,"別名： あじ
内臓等を除き水煮したもの
廃棄部位： 頭部、骨、ひれ等　 "
10,10005,1033,＜魚類＞（あじ類）　まあじ　皮つき、焼き　　,35,170,712,65.3,25.9,(21.5),6.4,5.1,1.57,1.52,1.76,94,0.1,-,(0),(0),(0),1.8,180,470,100,44,320,0.8,1.5,0.08,0.01,27,78,2,0,8,0,0,0,0,8,11.7,0.7,0,0,0,Tr,0.15,0.15,6.8,0.27,7.1,5,0.47,5.3,0,0.4,-,-,-,-,-,-,-,-,-,72,"別名： あじ
内臓等を除き焼いたもの
廃棄部位： 頭部、骨、ひれ等　 "
10,10390,1034,＜魚類＞（あじ類）　まあじ　皮つき、フライ　　,0,276,1156,52.3,20.1,16.2,18.2,17.0,2.25,9.23,4.75,80,7.9,8.5,-,-,-,1.4,160,330,100,35,250,0.8,1.2,0.08,0.11,-,-,-,-,16,0,Tr,1,1,16,7.0,3.4,Tr,5.9,0.1,23,0.12,0.15,4.6,0.15,7.5,10,0.53,-,0,0.4,-,-,-,-,-,-,-,-,-,120,"別名： あじ
三枚に下ろしたもの
増加した脂質量、衣等の割合： 第3章表17参照　 "
10,10006,1035,＜魚類＞（あじ類）　まあじ　開き干し　生　　,35,168,703,68.4,20.2,(16.8),8.8,6.7,2.35,2.23,1.78,73,0.1,-,(0),(0),(0),2.5,670,310,36,27,220,0.8,0.7,0.09,0.01,24,50,0,0,Tr,(0),Tr,(0),(Tr),(Tr),3.0,0.7,0,Tr,0,(0),0.10,0.15,3.7,0.31,6.3,6,0.81,4.5,(0),1.7,-,-,-,-,-,-,-,-,-,-,"別名： あじ
廃棄部位： 頭部、骨、ひれ等　 "
10,10007,1036,＜魚類＞（あじ類）　まあじ　開き干し　焼き　　,30,220,920,60.0,24.6,(20.5),12.3,9.2,3.23,3.10,2.47,96,0.1,-,(0),(0),(0),3.0,770,350,57,38,270,0.9,0.9,0.10,0.01,-,-,-,-,Tr,(0),Tr,(0),(Tr),(Tr),2.6,1.0,0,Tr,0,(0),0.12,0.14,4.7,0.32,8.5,6,0.75,-,(0),2.0,-,-,-,-,-,-,-,-,-,80,"別名： あじ
廃棄部位： 頭部、骨、ひれ等　 "
10,10391,1037,＜魚類＞（あじ類）　まあじ　小型　骨付き　生　　,10,123,513,73.4,17.8,14.7,5.0,3.7,1.16,1.05,1.35,130,0.1,-,(0),(0),(0),2.9,120,330,780,43,570,1.1,1.2,0.07,0.05,41,52,2,(0),33,(0),(0),(0),(0),33,5.1,0.9,0,0,0,-,0.19,0.17,4.6,0.26,5.6,11,0.47,4.4,1,0.3,-,-,-,-,-,-,-,-,-,-,"別名： あじ
廃棄部位： 内臓、うろこ等　 "
